repetition_id;tick;total;settled;female_moving;male_moving
1;2;1;1;0;0
1;184;2;1;0;1
1;186;3;2;0;1
1;187;4;3;0;1
1;188;5;4;0;1
1;189;6;5;0;1
1;190;7;6;0;1
1;191;8;7;0;1
1;192;9;8;0;1
1;193;10;9;0;1
1;194;11;10;0;1
1;196;11;10;0;1
1;203;12;11;0;1
1;556;12;10;1;1
1;557;12;11;0;1
1;558;13;12;0;1
1;559;14;13;0;1
1;561;16;14;1;1
1;562;16;14;1;1
1;563;15;14;0;1
1;565;15;13;0;2
1;567;16;14;0;2
1;571;17;15;0;2
1;573;17;16;0;1
1;922;17;15;1;1
1;924;18;16;1;1
1;929;17;16;0;1
1;1283;17;15;1;1
1;1285;17;16;0;1
1;1286;17;16;0;1
1;1647;18;17;0;1
1;1652;18;17;0;1
1;3459;18;16;0;2
1;3465;19;17;0;2
1;3466;20;18;0;2
1;3467;21;19;0;2
1;3468;22;20;0;2
1;3470;23;21;0;2
1;3471;24;22;0;2
1;3472;25;23;0;2
1;3813;26;23;0;3
1;3815;27;24;0;3
1;3816;28;25;0;3
1;3817;29;26;0;3
1;3818;30;27;0;3
1;3819;31;28;0;3
1;3820;32;29;0;3
1;3821;33;30;0;3
1;3822;34;31;0;3
1;3823;35;32;0;3
1;3825;36;33;0;3
1;3826;37;34;0;3
1;3827;38;35;0;3
1;3828;39;36;0;3
1;4211;40;36;0;4
1;4218;41;37;0;4
1;4929;42;38;0;4
1;5653;42;38;0;4
1;6751;42;37;0;5
1;6752;42;38;0;4
1;7107;42;38;0;4
1;7116;43;38;0;5
1;7121;44;39;0;5
1;7123;45;40;0;5
1;7126;46;41;0;5
1;7127;47;42;0;5
1;7128;48;43;0;5
1;7129;49;44;0;5
1;7130;50;45;0;5
1;7839;51;46;0;5
